pl_name,pl_rade,pl_bmasse,pl_orbsmax,pl_insol,st_teff,st_rad,habitability_label
AU Mic b,3.95677019,,0.0649,21.2,3678.0,0.744,0
AU Mic c,2.52202066,,0.1108,7.3,3678.0,0.744,0
CoRoT-32 b,6.38913,47.6745,0.071,132.26,5970.0,0.79,0
EPIC 201595106 b,1.565,7.67,0.0177,2852.0,5679.0,0.98,0
EPIC 211822797 b,1.98,,0.131,3.5,4148.21,0.571699,0
EPIC 220674823 b,1.82,9.0,0.01312,4293.0,5496.0,0.95,0
EPIC 220674823 b,1.676,7.8,0.01314,4656.0,5578.0,0.99,0
EPIC 220674823 b,1.725,8.21,0.01326,4670.0,5532.0,0.988,0
EPIC 220674823 c,2.84,7.32,0.1073,70.0,5578.0,0.99,0
EPIC 220674823 c,2.836,8.9,0.1083,70.0,5532.0,0.988,0
EPIC 220674823 c,2.77,5.7,0.1071,64.0,5496.0,0.95,0
EPIC 229004835 b,2.332,10.4,0.1237,69.7,5868.0,0.999,0
EPIC 246851721 b,11.780659,953.49,0.07229,642.0,6202.0,1.586,0
EPIC 248847494 b,12.44199,4131.79,4.5,0.19,4898.0,2.7,0
EPIC 249893012 b,1.95,8.75,0.047,1037.0,5430.0,1.71,0
EPIC 249893012 c,3.67,14.67,0.13,160.0,5430.0,1.71,0
EPIC 249893012 d,3.94,10.18,0.22,53.0,5430.0,1.71,0
G 9-40 b,2.025,11.7,0.0385,7.2,3348.0,0.3073,0
G 9-40 b,1.9,4.0,0.0418,6.27,3395.0,0.3026,0
GJ 1132 b,1.19151465,1.83704819,0.0157,19.3,3229.0,0.2211,0
GJ 1214 b,2.742,8.17,0.0149,21.0,3250.0,0.215,0
GJ 1214 b,2.733,8.41,0.01505,17.2,3101.0,0.2162,0
GJ 1252 b,1.18,1.32,0.00915,233.0,3458.0,0.391,0
GJ 3473 b,1.264,1.86,0.01589,59.4,3347.0,0.364,0
GJ 357 b,1.217,1.84,0.035,12.6,3505.0,0.337,0
GJ 367 b,0.699,0.633,0.00709,579.0,3522.0,0.458,0
GJ 3929 b,1.09,1.75,0.0252,17.3,3384.0,0.32,0
GJ 3929 b,1.15,1.21,0.02569,17.5,3369.0,0.315,0
GJ 486 b,1.305,2.82,0.01734,40.3,3340.0,0.328,0
GJ 486 b,1.343,3.0,0.01713,41.3,3291.0,0.339,0
GJ 486 b,1.289,2.77,0.01714,39.2,3317.0,0.3243,0
GJ 806 b,1.331,1.9,0.01406,130.0,3600.0,0.4144,0
GJ 9827 b,1.577,5.14,0.0188,318.0,4305.0,0.602,0
GJ 9827 b,1.62,3.42,0.01888,315.0,4269.0,0.613,0
GJ 9827 b,1.58,3.69,0.0206,256.0,4219.0,0.622,0
GJ 9827 c,1.24,1.45,0.0429,59.0,4219.0,0.622,0
GJ 9827 c,1.269,2.42,0.03942,72.0,4269.0,0.613,0
GJ 9827 c,1.241,1.3,0.03925,73.0,4305.0,0.602,0
GJ 9827 d,1.98,3.02,0.053,34.9,4236.0,0.58,0
GJ 9827 d,2.07,5.2,0.05615,35.6,4269.0,0.613,0
GJ 9827 d,2.022,3.53,0.0559,36.0,4305.0,0.602,0
GJ 9827 d,2.04,2.35,0.0611,29.0,4219.0,0.622,0
GPX-1 b,16.47720163,6261.2196179,0.0338,4650.0,7000.0,1.56,0
Gliese 12 b,0.9,10.0,0.067,1.6,3253.0,0.269,0
Gliese 12 b,0.958,3.87,0.0668,1.62,3296.0,0.2617,0
HAT-P-11 b,4.82,,0.053,96.67,4778.0,0.763,0
HAT-P-11 b,4.84,,0.053,97.1,4777.0,0.765,0
HAT-P-11 b,4.84,,0.053,97.1,4777.0,0.765,0
HAT-P-11 b,4.84,,0.053,97.1,4777.0,0.765,0
HAT-P-19 b,11.29865255,88.03846874,0.04599,154.0,4962.0,0.773,0
HAT-P-25 b,12.722215,180.84527,0.0466,325.0,5519.0,0.919,0
HAT-P-29 b,11.926376,243.77561,0.0665,433.0,6115.0,1.237,0
HAT-P-32 b,22.19382,216.1244,0.03397,1841.0,6001.0,1.367,0
HAT-P-36 b,15.210613,611.82275,0.02402,1821.0,5560.0,1.108,0
HAT-P-51 b,13.50682174,97.57332095,0.05042,310.0,5453.0,0.995,0
HAT-P-55 b,14.84069045,189.42573057,0.04628,583.0,5804.0,1.105,0
HAT-P-56 b,17.0,,0.0447,3515.0,6863.0,1.88,0
HAT-P-58 b,14.93036229,118.2321674,0.04994,1146.0,6078.0,1.53,0
HAT-P-59 b,12.58768533,489.45574678,0.05064,441.4,5678.0,1.1038,0
HAT-P-60 b,18.28184752,182.43350562,0.06277,1634.0,6212.0,2.197,0
HAT-P-61 b,10.07687365,335.9446262,0.0301,849.5,5587.0,0.938,0
HAT-P-62 b,12.02723629,241.86741773,0.03772,867.2,5629.0,1.17,0
HAT-P-63 b,12.5428494,195.1466419,0.04294,387.4,5400.0,0.9661,0
HAT-P-64 b,19.08889413,184.34047606,0.05387,1611.0,6457.0,1.735,0
HAT-P-65 b,18.05766791,176.07693748,0.04042,1821.0,5872.0,1.666,0
HAT-P-68 b,12.016048,230.10892,0.02996,184.8,4508.0,0.6701,0
HAT-P-7 b,16.39,,0.0381,3973.7,6350.0,1.991,0
HAT-P-7 b,16.25,,0.03809,4161.3,6449.0,1.973,0
HAT-P-7 b,16.39,,0.0381,3973.7,6350.0,1.991,0
HAT-P-7 b,16.39,,0.0381,3973.7,6350.0,1.991,0
HAT-P-7 b,16.1,,0.0376,4148.92,6440.0,1.952,0
HAT-P-9 b,15.614137,238.05467,0.05287,931.0,6350.0,1.338,0
HATS-17 b,8.709393,425.25654,0.1308,72.7,5846.0,1.091,0
HATS-18 b,14.986433,629.3034,0.01761,2990.0,5600.0,1.02,0
HATS-36 b,13.843115,1022.14128,0.05425,561.0,6149.0,1.155,0
HATS-37 A b,6.792654,31.46517,0.04913,229.7,5326.0,0.877,0
HATS-38 b,6.882326,23.51942,0.05036,464.7,5732.0,1.105,0
HATS-47 b,12.520453,117.27927,0.04269,87.73,4512.0,0.6564,0
HATS-48 A b,8.9672,77.23269,0.03769,137.6,4546.0,0.7152,0
HATS-49 b,8.574885,112.19399,0.04515,80.45,4405.0,0.6977,0
HATS-59 b,12.621334,256.17098,0.06112,269.0,5670.0,1.036,0
HATS-60 b,12.923977,210.40346,0.04708,903.9,5688.0,1.46,0
HATS-61 b,13.394755,1080.622,0.07908,374.2,5542.0,1.664,0
HATS-62 b,11.825495,56.89157,0.04163,387.4,5416.0,0.933,0
HATS-63 b,13.529263,305.1168,0.04026,634.1,5627.0,1.07,0
HATS-64 b,18.819911,305.1168,0.06562,1711.0,6554.0,2.113,0
HATS-65 b,16.824709,260.93843,0.04497,1178.0,6277.0,1.31,0
HATS-66 b,15.815899,1694.0339,0.04714,2637.0,6626.0,1.841,0
HATS-67 b,18.887165,460.8535,0.03032,3821.0,6594.0,1.441,0
HATS-68 b,13.809488,410.0007,0.05071,1521.0,6147.0,1.748,0
HATS-69 b,10.592505,183.38791,0.03211,466.6,5137.0,0.8785,0
HATS-70 b,15.513256,4100.007,0.03632,9110.0,7930.0,1.881,0
HATS-72 b,8.0973816,39.855882,0.066517,49.58,4656.1,0.7214,0
HATS-74 A b,11.56766808,464.02947422,0.02384,106.9,3776.9,0.5758,0
HATS-75 b,9.90873894,156.05374784,0.032742,59.26,3790.4,0.5848,0
HATS-76 b,12.09449018,835.570882,0.02658,129.8,4016.0,0.6259,0
HATS-77 b,13.05846252,436.69623122,0.03607,78.37,4071.0,0.6428,0
HD 101581 b,0.956,,0.046,80.0,4675.0,0.63,0
HD 101581 c,0.99,,0.0573,52.0,4675.0,0.63,0
HD 106315 b,2.23,,0.09012,240.0,6290.0,1.18,0
HD 106315 c,3.95,,0.1526,83.0,6290.0,1.18,0
HD 110113 b,2.05,4.55,0.035,735.49,5732.0,0.968,0
HD 118203 b,12.06086323,725.28442477,0.08635,593.4,5872.0,1.993,0
HD 118203 b,12.73340208,688.41632956,0.07071,755.3,5683.0,2.102,0
HD 135694 b,2.857,,0.124695,71.8,5712.0,1.08,0
HD 135694 b,2.51,5.7,0.12,73.7,5710.0,1.05,0
HD 136352 b,1.664,4.72,0.0964,111.6,5664.0,1.058,0
HD 136352 b,1.482,4.62,0.0969,114.0,5850.0,1.012,0
HD 136352 c,2.608,11.29,0.1729,36.0,5850.0,1.012,0
HD 136352 c,2.916,11.24,0.1721,35.1,5664.0,1.058,0
HD 136352 d,2.562,8.82,0.425,5.74,5664.0,1.058,0
HD 1397 b,11.500434,131.89945,0.1097,356.0,5521.0,2.336,0
HD 152843 b,3.41,11.56,0.1053,255.7,6310.0,1.43,0
HD 15906 b,2.24,,0.09,33.14,4757.0,0.762,0
HD 15906 c,2.93,,0.141,13.37,4757.0,0.762,0
HD 17156 b,1.094,3.26,0.1632,68.8,6046.0,1.517,0
HD 183579 b,3.55,19.7,0.1334,58.1,5788.0,0.985,0
HD 18599 b,2.7,25.5,0.05,145.0,5083.0,0.798,0
HD 189733 b,12.542871,370.58978,0.03106,356.0,5050.0,0.765,0
HD 191939 b,3.41,10.0,0.0804,100.0,5348.0,0.94,0
HD 191939 c,3.195,8.0,0.1752,21.0,5348.0,0.94,0
HD 191939 d,2.995,2.8,0.2132,14.3,5348.0,0.94,0
HD 202772 A b,17.317905,323.23311,0.05208,3440.0,6272.0,2.591,0
HD 20329 b,1.72,7.42,0.018,3474.0,5596.0,1.13,0
HD 207496 b,2.25,6.1,0.0629,72.9,4819.0,0.769,0
HD 207897 b,2.501,14.4,0.1163,26.5,5070.0,0.779,0
HD 219134 b,1.602,4.74,0.03876,176.2,4699.0,0.778,0
HD 219134 c,1.511,4.36,0.0653,62.1,4699.0,0.778,0
HD 219134 d,1.61,16.17,0.237,4.72,4699.0,0.778,0
HD 219134 f,1.31,7.3,0.1463,12.38,4699.0,0.778,0
HD 22946 d,2.607,26.57,0.2958,18.561,6169.0,1.117,0
HD 23472 b,2.0,8.32,0.1162,16.0,4684.0,0.71,0
HD 23472 c,1.87,3.41,0.1646,7.96,4684.0,0.71,0
HD 23472 d,0.75,0.55,0.04298,117.0,4684.0,0.71,0
HD 23472 e,0.818,0.72,0.068,46.7,4684.0,0.71,0
HD 23472 f,1.137,0.77,0.0906,26.3,4684.0,0.71,0
HD 235088 b,2.045,,0.072,70.0,5037.0,0.789,0
HD 25463 b,2.62,8.5,0.076,461.4,6220.0,1.41,0
HD 25463 c,1.5,4.1,0.0435,1413.5,6220.0,1.41,0
HD 260655 b,1.24,2.14,0.02933,42.2,3803.0,0.439,0
HD 260655 c,1.533,3.09,0.04749,16.1,3803.0,0.439,0
HD 3167 b,1.7,5.02,0.01815,1625.0,5261.0,0.86,0
HD 3167 b,1.67,4.97,0.01796,1650.0,5261.0,0.88,0
HD 3167 c,3.0,11.13,0.1776,16.9,5261.0,0.88,0
HD 3167 c,3.01,9.8,0.1795,16.6,5261.0,0.86,0
HD 332231 b,9.718203,77.55052,0.1436,98.09,6089.0,1.277,0
HD 42813 b,3.41,9.1,0.111,74.7,5289.0,0.98,0
HD 42813 b,3.36,5.8,0.109,54.1,5240.0,0.97,0
HD 42813 b,3.48,9.6,0.107,61.0,5289.0,0.98,0
HD 5278 b,2.45,7.8,0.1202,132.0,6203.0,1.194,0
HD 6061 b,2.45,10.8,0.059,339.1,5920.0,1.03,0
HD 73583 b,2.84,15.9,0.05995,46.2,4582.0,0.677,0
HD 73583 b,2.79,10.2,0.0604,43.3,4511.0,0.65,0
HD 73583 c,2.73,22.5,0.1233,11.76,4582.0,0.677,0
HD 73583 c,2.39,9.7,0.1242,10.2,4511.0,0.65,0
HD 80653 b,1.613,5.72,0.01661,6130.0,5959.0,1.22,0
HD 93963 A b,1.35,7.8,0.02085,2898.0,5987.0,1.043,0
HD 93963 A c,3.228,19.2,0.04813,543.8,5987.0,1.043,0
HD 95338 b,3.89,42.44,0.262,7.42,5212.0,0.87,0
HIP 116454 b,2.53,10.1,0.07765,51.4,5089.0,0.716,0
HIP 116454 b,2.469,9.7,0.0792,51.2858,5048.0,0.758,0
HIP 29442 c,1.58,4.5,0.0436,373.0,5289.0,0.98,0
HIP 29442 c,1.551,4.5,0.04518,451.0,5289.0,0.98,0
HIP 29442 d,1.37,5.1,0.0649,167.0,5289.0,0.98,0
HIP 29442 d,1.538,5.14,0.0673,203.0,5289.0,0.98,0
HIP 65 A b,22.75427,1021.18779,0.01782,661.0,4590.0,0.7242,0
HIP 8152 b,2.56,7.8,0.092,88.9,5530.0,0.95,0
HIP 8152 c,2.48,9.4,0.138,39.9,5530.0,0.95,0
HIP 9618 b,3.75,8.4,0.144,36.8,5550.0,0.95,0
HIP 9618 b,3.9,10.0,0.1438,40.3,5609.0,0.9662,0
HIP 9618 c,3.34,7.9,0.268,10.7,5550.0,0.95,0
HIP 9618 c,3.343,18.3,0.2669,11.7,5609.0,0.9662,0
HR 858 b,2.085,,0.048,989.7,6201.0,1.31,0
HR 858 c,1.939,,0.0674,512.0,6201.0,1.31,0
HR 858 d,2.164,,0.1027,217.0,6201.0,1.31,0
K2-10 b,4.37,,0.137,54.1,5581.0,1.08,0
K2-100 b,3.45,,0.0422,990.0,6120.0,1.19,0
K2-100 b,3.88,21.8,0.0301,1915.0,5945.0,1.24,0
K2-104 b,1.96,,0.023,62.1,3546.46,0.492279,0
K2-108 b,5.28,59.4,0.0573,762.0,5474.0,1.75,0
K2-11 b,2.42,,0.2196,9.84,5264.0,0.83,0
K2-110 b,2.592,15.9,0.10207,27.7,5010.0,0.713,0
K2-111 b,1.82,5.58,0.0565,490.0,5775.0,1.25,0
K2-114 b,10.44677001,638.83509807,0.0943,40.0,4920.0,0.824,0
K2-116 b,0.69,,0.048,78.6,4348.35,0.6694,0
K2-117 b,2.03,,0.0188,123.6,3676.0,0.513,0
K2-117 b,1.96,,0.019,145.8,3842.12,0.491598,0
K2-117 c,2.03,,0.051,21.4,3842.12,0.491598,0
K2-117 c,1.94,,0.0491,18.1,3676.0,0.513,0
K2-118 b,2.54,,0.245,4.3,4726.29,0.734626,0
K2-119 b,2.29,,0.07,54.9,4752.8,0.679343,0
K2-12 b,2.44,5.2,0.0792,185.0,5672.0,1.117,0
K2-12 b,2.72,,0.0847,310.0,6177.0,1.31,0
K2-121 b,9.12,,0.052,89.5,4471.38,0.768,0
K2-122 b,1.22,,0.0288,95.7,3903.0,0.612,0
K2-122 b,1.28,,0.029,79.9,3993.36,0.590802,0
K2-123 b,2.65,,0.167,2.9,4075.67,0.571015,0
K2-123 b,2.66,,0.1641,2.7,3880.0,0.592,0
K2-124 b,2.64,,0.051,8.7,3560.7,0.344292,0
K2-125 b,2.18,,0.121,2.0,3654.47,0.402049,0
K2-126 b,1.84,,0.066,35.3,4367.83,0.62115,0
K2-127 b,8.66,,0.041,105.6,4387.84,0.676994,0
K2-128 b,1.42,,0.056,68.8,4469.51,0.777569,0
K2-129 b,1.04,,0.057,4.5,3459.09,0.36001,0
K2-13 b,2.7,,0.2245,22.8,5727.0,1.09,0
K2-130 b,1.25,,0.032,136.4,4356.47,0.744261,0
K2-131 b,1.69,7.9,0.00936,4070.0,5120.0,0.7595,0
K2-133 e,1.73,,0.1346,1.8,3655.0,0.455,0
K2-136 b,1.014,4.3,0.0707,33.5,4500.0,0.677,0
K2-136 c,3.0,18.1,0.1185,11.91,4500.0,0.677,0
K2-136 c,3.03,,0.11728,11.9,4364.0,0.71,0
K2-136 d,1.565,3.0,0.1538,7.07,4500.0,0.677,0
K2-138 b,1.57,,0.0338,486.0,5378.0,0.86,0
K2-138 b,1.49,,0.0338,424.51,5283.0,0.839,0
K2-138 c,2.26,,0.0442,248.95,5283.0,0.839,0
K2-138 c,2.52,,0.04454,279.0,5378.0,0.86,0
K2-138 d,2.66,,0.05883,160.0,5378.0,0.86,0
K2-138 d,2.46,,0.0575,147.12,5283.0,0.839,0
K2-138 e,3.11,,0.0792,77.79,5283.0,0.839,0
K2-138 e,3.29,,0.07807,91.1,5378.0,0.86,0
K2-138 f,2.81,,0.1043,51.0,5378.0,0.86,0
K2-138 f,2.73,,0.1064,43.02,5283.0,0.839,0
K2-138 g,3.18,,0.2287,9.29,5283.0,0.839,0
K2-14 b,7.49,,0.069,5.5,3970.42,0.623332,0
K2-14 b,4.48,,0.061,8.0,3866.0,0.386,0
K2-140 b,13.56286665,295.58041851,0.068,204.0,5585.0,1.06,0
K2-140 b,12.273855,323.86877,0.0591,188.5,5654.0,0.987,0
K2-141 b,1.51,4.97,0.00747,3260.0,4570.0,0.681,0
K2-141 c,7.0,8.0,0.0683,39.1,4570.0,0.681,0
K2-146 b,2.2,,0.0266,20.7,3385.0,0.35,0
K2-147 b,1.38,,0.0159,200.1,3672.0,0.554,0
K2-148 b,1.33,,0.0454,48.8,4079.0,0.632,0
K2-148 c,1.73,,0.0616,26.5,4079.0,0.632,0
K2-148 d,1.64,,0.0774,16.8,4079.0,0.632,0
K2-149 b,1.64,,0.083,7.0,3745.0,0.568,0
K2-15 b,2.84,,0.0946,48.0,5314.0,0.78,0
K2-150 b,2.0,,0.0727,4.9,3499.0,0.436,0
K2-151 b,1.35,,0.0365,20.8,3585.0,0.429,0
K2-152 b,2.81,,0.1735,2.9,3940.0,0.631,0
K2-153 b,2.0,,0.0601,11.8,3720.0,0.495,0
K2-154 b,2.23,,0.0408,57.5,3978.0,0.649,0
K2-154 c,2.1,,0.0683,20.5,3978.0,0.649,0
K2-155 b,1.55,,0.0546,19.9,3919.0,0.526,0
K2-155 c,1.95,,0.092,7.0,3919.0,0.526,0
K2-155 d,1.64,,0.1886,1.67,3919.0,0.526,0
K2-157 b,0.935,1.14,0.00962,6660.0,5334.0,0.86,0
K2-16 b,1.96,,0.06696,47.7,4800.0,0.67,0
K2-16 b,2.02,,0.0667,44.5,4742.0,0.66,0
K2-16 c,2.19,,0.1235,14.0,4800.0,0.67,0
K2-16 c,2.54,,0.1229,13.1,4742.0,0.66,0
K2-167 b,2.3,6.5,0.091,317.0,6011.0,1.494,0
K2-167 b,2.2642141,,0.0999,229.0,6141.0,1.46,0
K2-17 b,1.53,,0.1088,4.91,4102.0,0.478,0
K2-17 b,2.03,,0.117,10.5,4118.41,0.626014,0
K2-18 b,2.61,8.63,0.1591,1.005,3457.0,0.4445,0
K2-18 b,2.279,,0.1429,1.05,3457.0,0.411,0
K2-18 b,2.28,,0.1506,0.95,3496.0,0.4,0
K2-180 b,2.24179614,11.44182265,0.075,67.0,5110.0,0.69,0
K2-182 b,2.69,20.0,0.0526,146.9,5170.0,0.793,0
K2-19 b,7.23,,0.077,87.7,5230.0,0.88,0
K2-19 b,7.74,,0.074,125.9,5430.0,0.86,0
K2-19 b,8.2,,0.0775,165.0,5748.0,1.01,0
K2-19 c,4.86,,0.0971,73.1,5430.0,0.86,0
K2-19 c,4.93,,0.1017,96.0,5748.0,1.01,0
K2-19 c,4.21,,0.1032,48.8,5230.0,0.88,0
K2-19 d,1.14,,0.0344,583.5,5430.0,0.86,0
K2-19 d,1.22,,0.036,766.0,5748.0,1.01,0
K2-199 b,1.73,6.9,0.0382,116.2,4491.0,0.682,0
K2-199 c,2.85,12.4,0.0662,38.6,4491.0,0.682,0
K2-21 b,1.59,,0.0731,11.0,4043.0,0.6,0
K2-21 b,1.84,,0.076,10.0,4222.06,0.646783,0
K2-21 b,1.25,,0.0699,10.0,4006.0,0.46,0
K2-21 c,1.53,,0.098,5.09,4006.0,0.46,0
K2-21 c,1.92,,0.1026,5.6,4043.0,0.6,0
K2-21 c,2.49,,0.107,5.1,4222.06,0.646783,0
K2-216 b,1.75,8.0,0.028,248.0,4503.0,0.72,0
K2-22 b,3.0,,0.01604,114.0,3865.0,0.382,0
K2-22 b,4.75,,0.009,737.9,3879.18,0.581569,0
K2-222 b,2.35,8.7,0.1206,96.0,5942.0,1.115,0
K2-233 b,1.315,2.4,0.03293,269.0,4796.0,0.71,0
K2-233 b,1.398,,0.03317,273.0,4950.0,0.745,0
K2-233 c,1.272,4.6,0.0664,66.2,4796.0,0.71,0
K2-233 c,1.335,,0.06687,67.1,4950.0,0.745,0
K2-233 d,2.363,10.3,0.1516,12.7,4796.0,0.71,0
K2-233 d,2.64,,0.1527,12.9,4950.0,0.745,0
K2-237 b,16.19697711,433.20011874,0.03558,1860.0,6360.0,1.261,0
K2-24 b,7.07,,0.1577,87.0,5717.0,1.51,0
K2-24 b,5.83,,0.1542,60.1,5743.0,1.21,0
K2-24 b,5.68,21.0,0.154,60.0,5743.0,1.21,0
K2-24 c,8.1,,0.2471,23.4,5743.0,1.21,0
K2-24 c,7.82,27.0,0.247,24.0,5743.0,1.21,0
K2-24 c,9.8,,0.2527,34.2,5717.0,1.51,0
K2-25 b,3.44,24.5,0.0287,9.91,3207.0,0.2932,0
K2-26 b,2.67,,0.0962,5.8,3785.0,0.52,0
K2-26 b,2.58,,0.0945,5.28,3769.0,0.51,0
K2-261 b,9.52763359,59.75174052,0.1034,180.0,5445.0,1.642,0
K2-261 b,9.50521563,67.69745069,0.1087,180.0,5503.0,1.641,0
K2-263 b,2.41,14.9,0.2573,8.17,5368.0,0.85,0
K2-266 b,3.3,11.26782377,0.01306,879.5,4285.0,0.703,0
K2-266 c,0.705,0.29013072,0.0679,32.4,4285.0,0.703,0
K2-266 d,2.93,8.9,0.1035,13.95,4285.0,0.703,0
K2-266 e,2.73,14.3,0.1249,9.581,4285.0,0.703,0
K2-27 b,5.36,,0.0703,216.0,5797.0,1.03,0
K2-27 b,4.48,30.9,0.06702,116.0,5248.0,0.885,0
K2-28 b,2.3,,0.02,30.1,3292.75,0.279867,0
K2-28 b,2.56,,0.0192,21.7,3214.0,0.288,0
K2-284 b,2.78,,0.04771,42.6,4140.0,0.607,0
K2-285 b,2.59,9.68,0.03817,234.31,4975.0,0.787,0
K2-285 c,3.53,15.68,0.0824,50.35,4975.0,0.787,0
K2-285 d,2.48,6.5,0.1178,24.61,4975.0,0.787,0
K2-285 e,1.95,10.7,0.18041,10.5,4975.0,0.787,0
K2-29 b,11.42,,0.04214,293.0,5323.0,0.85,0
K2-291 b,1.589,6.49,0.03261,633.0,5520.0,0.899,0
K2-292 b,2.63,24.5,0.13,67.0,5725.0,1.09,0
K2-3 b,1.44,,0.0679,5.8,3841.0,0.371,0
K2-3 b,2.25,6.47,0.0778,11.6,3835.0,0.6,0
K2-3 b,2.14,,0.0769,11.0,3896.0,0.561,0
K2-3 b,2.18,,0.0769,10.9,3896.0,0.56,0
K2-3 b,2.078,5.11,0.0747,10.5,3844.0,0.546,0
K2-3 c,1.85,,0.1399,3.3,3896.0,0.56,0
K2-3 c,1.582,2.68,0.1357,3.17,3844.0,0.546,0
K2-3 c,1.18,,0.1235,1.77,3841.0,0.371,0
K2-3 c,1.72,,0.1399,3.32,3896.0,0.561,0
K2-3 c,1.69,3.3,0.1414,3.51,3835.0,0.6,0
K2-3 d,1.52,,0.2076,1.51,3896.0,0.561,0
K2-3 d,1.62,1.6,0.2097,1.6,3835.0,0.6,0
K2-3 d,0.96,,0.1833,0.8,3841.0,0.371,1
K2-3 d,1.51,,0.2076,1.5,3896.0,0.56,1
K2-3 d,1.458,2.2,0.2014,1.44,3844.0,0.546,1
K2-30 b,12.3,,0.0489,299.0,5567.0,0.92,0
K2-31 b,34.0,,0.02258,1272.0,5465.0,0.9,0
K2-32 b,5.38,,0.0808,82.9,5315.0,0.87,0
K2-32 b,5.62,,0.0811,100.0,5428.0,0.92,0
K2-32 b,5.13,16.5,0.08036,77.7,5275.0,0.845,0
K2-32 c,3.32,,0.1412,33.0,5428.0,0.92,0
K2-32 c,3.01,12.1,0.1399,25.6,5275.0,0.845,0
K2-32 c,3.48,,0.1407,27.4,5315.0,0.87,0
K2-32 d,3.77,,0.1879,18.7,5428.0,0.92,0
K2-32 d,3.43,10.3,0.1862,14.5,5275.0,0.845,0
K2-32 d,3.75,,0.1873,15.4,5315.0,0.87,0
K2-329 b,8.675766,82.6358,0.1016,45.7,5282.0,0.822,0
K2-35 b,1.08,,0.0306,132.0,4426.0,0.601,0
K2-35 b,1.32,,0.031,211.0,4402.71,0.619575,0
K2-35 b,1.4,,0.032,217.4,4680.0,0.72,0
K2-35 c,1.93,,0.055,68.0,4402.71,0.619575,0
K2-35 c,2.09,,0.0564,70.1,4680.0,0.72,0
K2-35 c,1.69,,0.0539,42.0,4426.0,0.601,0
K2-36 b,1.32,,0.023,546.3,4924.0,0.74,0
K2-36 b,1.45,,0.02308,570.0,4953.0,0.75,0
K2-36 b,1.43,3.9,0.0223,529.0,4916.0,0.718,0
K2-36 b,1.43,4.3,0.02288,519.0,4916.0,0.718,0
K2-36 c,3.2,7.8,0.054,90.0,4916.0,0.718,0
K2-36 c,3.2,7.9,0.05528,89.0,4916.0,0.718,0
K2-36 c,2.65,,0.05574,97.8,4953.0,0.75,0
K2-36 c,2.8,,0.0555,93.6,4924.0,0.74,0
K2-37 b,1.61,,0.0511,213.3,5413.0,0.85,0
K2-37 b,1.66,,0.05105,240.0,5512.0,0.87,0
K2-37 c,2.75,,0.0654,130.3,5413.0,0.85,0
K2-37 c,2.65,,0.06534,146.0,5512.0,0.87,0
K2-37 d,2.59,,0.1102,51.6,5512.0,0.87,0
K2-37 d,2.73,,0.1103,45.7,5413.0,0.85,0
K2-38 b,1.55,12.0,0.0506,465.9,5757.0,1.1,0
K2-38 b,1.64,,0.05073,480.0,5758.0,1.12,0
K2-38 b,1.655,7.7,0.0503,490.0,5705.0,1.141,0
K2-38 b,1.54,7.3,0.04994,426.0,5731.0,1.06,0
K2-38 c,2.42,9.9,0.0964,128.3,5757.0,1.1,0
K2-38 c,2.29,8.3,0.09514,117.0,5731.0,1.06,0
K2-38 c,2.49,7.4,0.0959,135.3,5705.0,1.141,0
K2-38 c,2.41,,0.0967,132.0,5758.0,1.12,0
K2-39 b,7.09,,0.05708,1148.0,4993.0,2.59,0
K2-39 b,5.71,39.8,0.0574,1356.0,4912.0,2.93,0
K2-4 b,1.69,,0.0715,8.9,4044.0,0.435,0
K2-4 b,2.1,,0.078,15.6,4014.73,0.569359,0
K2-411 b,0.9898,,0.0511,619.038,5711.0,1.375,0
K2-412 b,2.116,,0.0586,243.518,5590.0,0.977,0
K2-413 b,0.7599,,0.0117,921.755,4116.0,0.7,0
K2-413 c,1.2327,,0.0426,69.529,4116.0,0.7,0
K2-414 b,1.219,,0.0487,72.113,4343.0,0.732,0
K2-414 c,1.9287,,0.0552,56.13,4343.0,0.732,0
K2-415 b,1.015,7.5,0.027,4.82,3173.0,0.1965,0
K2-419 A b,10.55,196.0,0.1208,3.3,3711.0,0.541,0
K2-42 b,2.15,,0.0617,44.1,4613.0,0.643,0
K2-43 b,4.75,,0.038,46.4,3889.72,0.587449,0
K2-43 b,4.13,,0.03784,49.0,3939.0,0.57,0
K2-44 b,2.72,,0.0651,646.0,5912.0,1.58,0
K2-45 b,6.71,,0.0224,100.0,4103.0,0.445,0
K2-45 b,10.44,,0.025,380.5,4262.1,0.685548,0
K2-46 b,2.05,,0.13821,119.0,6256.0,1.29,0
K2-47 b,1.89,,0.1779,10.7,5054.0,0.76,0
K2-48 b,2.24,,0.1344,15.3,4899.0,0.73,0
K2-49 b,1.93,,0.0309,59.0,4175.0,0.45,0
K2-5 b,1.5,,0.0504,19.7,4021.0,0.462,0
K2-5 b,1.91,,0.0532,24.1,3930.0,0.57,0
K2-5 c,2.26,,0.0818,10.2,3930.0,0.57,0
K2-5 c,1.64,,0.0775,8.3,4021.0,0.462,0
K2-50 b,1.59,,0.0705,18.8,4326.0,0.546,0
K2-52 b,11.1,,0.0485,1124.0,6113.0,1.49,0
K2-53 b,2.5,,0.0975,52.5,5269.0,0.85,0
K2-54 b,1.15,,0.0671,6.1,3798.0,0.384,0
